id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	comment
draft_45277_00326			6.924	61011		CCN(CC)CCCN							
draft_45277_00327			6.924	162518		CC(=O)NC1=CC=CC2=NC=CC=C12							
draft_45277_00328			6.925	2366		CNCCC1=CC=CC=N1							
draft_45277_00329			6.932	5296880		CCOC(=O)C1=C(N)N(NC1=O)C(C)=O							
draft_45277_00330			6.9350000000000005	10822		CCC1=CC=NC=C1							
draft_45277_00331			6.941	2789181	O=C1NC(=CN=N1)\N=N\CC1=CC=CN=C1	C1=CC(=CN=C1)C=NNC2=NC(=O)NN=C2							
draft_45277_00332			6.941999999999999	81646		CN1CCCN(C)C1=O							
draft_45277_00333			6.944999999999999	78013		CC(C)N1CCNCC1							
draft_45277_00334			6.961	66040		CCNCCN(CC)CC							
draft_45277_00335			6.962000000000001	231639		NC1=NC2=C(CCC2)C=N1							
draft_45277_00336			6.965999999999999	13854		O=CC1=CC=CN1							
draft_45277_00337			6.97	7521		C=CC1=NC=CC=C1							
draft_45277_00338			6.976	75501		CN(CC=C)CC=C							
draft_45277_00339			6.976	11731		CC(C)C(C)N							
draft_45277_00340			6.976	33944		NCCN1CCCCC1							
draft_45277_00341			6.976	3613806		CCN1C(C)=NNC1=S							
draft_45277_00342			6.976	39870849		CN1CC(=O)N(C1=O)C1=CC=CC(N)=C1							
draft_45277_00343			6.982	2952083		CCCNC(=O)N1CCCC(C1)C(N)=O							
draft_45277_00344			6.987	6210		CC1=CC(C)=NN1							
draft_45277_00345			6.997	66073		CCCNCCN							
draft_45277_00346			6.997	85122		CC1=NC2=CC=CC=C2C(=C1)C(N)=O							
draft_45277_00347			7.001	67309		C[N+](C)(C)C1=CC=CC=C1							
draft_45277_00348			7.002	458574		CNCC1=CC=CS1							
draft_45277_00349			7.002	4778254		CC(=O)N1CCC(CC1)C1CCNCC1							
draft_45277_00350			7.002	277942		NCC1=C(C=CC=C1)C(O)=O							
draft_45277_00351			7.007000000000001	4610		NC1CCCCC1N							
draft_45277_00352			7.007000000000001	78867		NC1=CC=C2NC=CC2=C1							
draft_45277_00353			7.0120000000000005	1439064		C(N1CCCC1)C1=CC=CC=N1							
draft_45277_00354			7.022	3754087		CN(C)C(CN)C1=CC=CO1							
