id	name	formula	rt	smiles.std	status
0329_00687	ACETOACETATE	C4H6O3	0.557		'PUGREST.BadRequest: error: '
0329_00689	ARABINOSE	C5H10O5	0.582		'PUGREST.BadRequest: error: '
0329_00690	XYLOSE	C5H10O5	0.582		'PUGREST.BadRequest: error: '
0329_00691	ARABINOSE	C5H10O5	0.582		'PUGREST.BadRequest: error: '
0329_00692	LYXOSE	C5H10O5	0.582		'PUGREST.BadRequest: error: '
0329_00693	RIBOSE	C5H10O5	0.582		'PUGREST.BadRequest: error: '
0329_00697	2,6-DIHYDROXYPYRIDINE	C5H5NO2	2.543		'PUGREST.BadRequest: error: '
0329_00698	PYRROLE-2-CARBOXYLATE	C5H5NO2	2.543		'PUGREST.BadRequest: error: '
0329_00699	ITACONATE	C5H6O4	1.211		'PUGREST.BadRequest: error: '
0329_00700	2-METHYLMALEATE	C5H6O4	1.211		'PUGREST.BadRequest: error: '
0329_00705	2-METHYLGLUTARATE	C6H10O4	1.794		'PUGREST.BadRequest: error: '
0329_00706	ADIPATE	C6H10O4	1.794		'PUGREST.BadRequest: error: '
0329_00707	MONOMETHYLGLUTARATE	C6H10O4	1.794		'PUGREST.BadRequest: error: '
0329_00719	MANNITOL	C6H14O6	0.582		'PUGREST.BadRequest: error: '
0329_00720	SORBITOL	C6H14O6	0.582		'PUGREST.BadRequest: error: '
0329_00727	2,5-DIHYDROXYBENZOATE	C7H6O4	2.404		'PUGREST.BadRequest: error: '
0329_00734	SUBERATE	C8H14O4	2.899		'PUGREST.BadRequest: error: '
0329_00735	N-ACETYLLEUCINE	C8H15NO3	2.735		'PUGREST.BadRequest: error: '
0329_00737	PHENYL ACETATE	C8H8O2	1.984		'PUGREST.BadRequest: error: '
0329_00738	PHENYLACETATE	C8H8O2	1.984		'PUGREST.BadRequest: error: '
0329_00742	HOMOGENTISATE	C8H8O4	1.304		'PUGREST.BadRequest: error: '
0329_00743	PYRIDOXAL	C8H9NO3	0.767		'PUGREST.BadRequest: error: '
0329_00744	HOMOVANILLATE	C9H10O4	1.984		'PUGREST.BadRequest: error: '
0329_00745	HYDROXYPHENYLLACTATE	C9H10O4	1.984		'PUGREST.BadRequest: error: '
0329_00746	3-METHOXY-4-HYDROXYMANDELATE	C9H10O5	1.329		'PUGREST.BadRequest: error: '
0329_00748	AZELATE	C9H16O4	3.227		'PUGREST.BadRequest: error: '
0329_00750	3-METHYL-2-OXINDOLE	C9H9NO	2.664		'PUGREST.BadRequest: error: '
0329_00752	2-UNDECANONE	C11H22O	4.073		'PUGREST.BadRequest: error: '
0329_00753	1-HYDROXY-2-NAPHTHOATE	C11H8O3	4.378		'PUGREST.BadRequest: error: '
0329_00755	OMEGA-HYDROXYDODECANOATE	C12H24O3	4.073		'PUGREST.BadRequest: error: '
0329_00761	PALMITATE	C16H32O2	5.638		'PUGREST.BadRequest: error: '
0329_00763	HEPTADECANOATE	C17H34O2	5.732		'PUGREST.BadRequest: error: '
0329_00765	ROSMARINATE	C18H16O8	3.323		'PUGREST.BadRequest: error: '
