id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	comment
0401_00420			3.662	445027	C[C@H]1[C@H](NC(=O)N1)CCCCCC(=O)O								
0401_00421			3.666	445858	COC1=C(C=CC(=C1)/C=C/C(=O)O)O								
0401_00422			3.685	70912	CC(C)C[C@@H](C(=O)O)NC(=O)C								
0401_00423			3.693	102526	CC(C1=CC=C(C=C1)O)C(=O)O								
0401_00424			3.71	92904	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O								
0401_00425			3.721	69867	C1=CC=C2C(=C1)C(=CN2)C(=O)O	C1=CC=C2C(=C1)C(=CN2)C(=O)O							
0401_00426			3.723	340	CC1=C(C(=CC=C1)O)O	CC1=C(C(=CC=C1)O)O							
0401_00427			3.7425	2002	CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O	CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O							
0401_00428			3.7425	439917	CC(=O)N[C@H](CC1=CNC2=CC=CC=C21)C(=O)O								
0401_00429			3.792	644225	C[C@@H](C(=O)O)NC(=O)CC1=CNC2=CC=CC=C21								
0401_00430			3.805	74839	CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O								
0401_00431			3.823	444718	C1=CC=C(C=C1)C[C@@H](C(=O)O)O								
0401_00432			3.823	643327	C1=CC=C(C=C1)C[C@H](C(=O)O)O								
0401_00433			3.845	99463	CCCCCC(=O)NCC(=O)O	CCCCCC(=O)NCC(=O)O							
0401_00434			3.851	896	CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC	CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC							
0401_00435			3.883	18986	COC1=CC2=C(C=C1)NC=C2CC(=O)O	COC1=CC2=C(C=C1)NC=C2CC(=O)O							
0401_00436			3.902	6990	CC(=O)C1=C(C=C(C=C1)O)O	CC(=O)C1=C(C=C(C=C1)O)O							
0401_00437			3.909	637541	C1=CC(=CC(=C1)O)/C=C/C(=O)O								
0401_00438			3.96	10383	COC1=CC(=CC(=C1)O)OC	COC1=CC(=CC(=C1)O)OC							
0401_00439			3.979777778	54301591	[2H]C1=C(C(=C2C(=C1[2H])C(=C(N2)[2H])CC(=O)O)[2H])[2H]	[2H]C1=C(C(=C2C(=C1[2H])C(=C(N2)[2H])CC(=O)O)[2H])[2H]							
0401_00440			3.981	709625	C1=CC=C(C=C1)/C=C/C(=O)NCC(=O)O								
0401_00441			3.989	980	C1=CC(=CC=C1[N+](=O)[O-])O	C1=CC(=CC=C1[N+](=O)[O-])O							
0401_00442			4.0	445154	C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O								
0401_00443			4.005	98	C(C(=O)C(=O)O)S								
0401_00444			4.014	323	C1=CC=C2C(=C1)C=CC(=O)O2								
0401_00445			4.019	802	C1=CC=C2C(=C1)C(=CN2)CC(=O)O								
