hplccolumns_number	normalized notation	USP Code	Phase type	H	S*	A	B	C (pH 2.8)	C (pH 7.0)	EB retention factor	pore size	particle size	Name	Manufacturer	comment
332	Waters, ACQUITY UPLC BEH Shield RP18	L1	EP	0.900	0.0100	-0.0300	0.130	-0.0500	0.410	3.5					
698	Waters, ACQUITY UPLC CSH C18	L1	EP	0.968	0	-0.355	0.199	0.0650	0.157	6.1					
291	Waters, Atlantis dC18	L1	C18	0.910	-0.0300	-0.190	0	0.0300	0.0800	8.1					
327	Waters, Atlantis T3	L1	C18	0.940	-0.0300	-0.180	0	0.0200	0.710	8.4					
723	Waters, BioResolve RP mAb Polyphenyl	L11	phenyl	0.586	-0.140	-0.490	0.0580	0.180	0.250	0.39					
667	Waters, CORTECS C18	L1	C18	1.08	0.0430	-0.108	-0.0370	0.0630	0.0350	6.39					
668	Waters, CORTECS C18+	L1	C18	1.04	-0.00500	0.175	0.0260	-0.0330	0.537	6.54					
718	Waters, CORTECS C8	L7	C8	0.882	0.0200	-0.210	-0.00700	0.0280	0.0470	4.5					
720	Waters, CORTECS Phenyl	L11	phenyl	0.764	-0.0880	-0.310	0.00900	0.0420	0.590	3.3					
719	Waters, CORTECS T3	L1	C18	0.954	-0.0360	-0.160	0.0160	0.150	0.190	5.2					
721	Waters, CORTECS UPLC Shield RP18	L1	EP	0.869	-0.0230	-0.280	0.100	-0.190	0.0960	4.9					
542	Waters, CSH C18	L1	C18	0.954	-0.00200	-0.179	0.118	0.0820	0.171	5.62					
292	Waters, Delta-Pak C18	L1	C18	1.02	0.0100	-0.0100	-0.0100	-0.0500	0.0200	9	100A				
293	Waters, Delta-Pak C18	L1	C18	0.950	-0.0100	-0.100	0.0100	0.230	0.280	3	300A				
284	Waters, Nova-Pak C18	L1	C18	1.04	0	0.0900	-0.0200	0.540	0.560	6.5					
285	Waters, Nova-Pak C8	L7	C8	0.890	-0.0200	-0.0900	0	0.610	0.620	3.9					
311	Waters, Nova-Pak CN HP	L10	CN	0.360	-0.160	0.100	0	0.690	1.17	0.4	60A				
318	Waters, Nova-Pak Phenyl	L11	Phenyl	0.700	-0.150	-0.300	0.0100	0.760	0.810	2.5					
286	Waters, Resolve C18	L1	C18	0.960	-0.120	0.330	-0.0400	1.92	2.14	7.9					
287	Waters, Spherisorb C8	L7	C8	0.760	-0.0900	-0.0300	0.0500	0.730	1.14	4.9					
288	Waters, Spherisorb ODS1	L1	C18	0.680	-0.180	0.320	0.0100	0.840	1.29	4.6					
289	Waters, Spherisorb ODS2	L1	C18	0.960	-0.0700	0.0700	0.0300	0.900	1.26	8.3					
290	Waters, Spherisorb ODS-B	L1	C18	0.970	0.0200	0.240	0.380	-0.640	1.68	6.9					
298	Waters, SunFire C18	L1	C18	1.03	0.0300	0.0400	-0.0100	-0.180	-0.0900	9.9					
297	Waters, SunFire C8	L7	C8	0.850	0.0300	-0.120	0	-0.270	0	5.8					
299	Waters, Symmetry C18	L1	C18	0.980	0.0300	-0.0500	0	0.220	0.200	3.5	300A				
301	Waters, Symmetry C18	L1	C18	1.05	0.0600	0.0100	-0.0200	-0.300	0.120	9.8					
300	Waters, Symmetry C4	L26	C4	0.650	-0.0100	-0.420	0.0100	0.100	0.180	1.4	300A				
578	Waters, Symmetry C4	L26	C4	0.687	-0.0120	-0.290	0.0220	0.217	0.305	1.41					
302	Waters, Symmetry C8	L7	C8	0.890	0.0400	-0.200	0.0200	-0.500	0.280	7					
312	Waters, SymmetryShield RP18	L1	EP	0.850	0.0200	-0.410	0.0900	-0.720	0.130	7.3					
313	Waters, SymmetryShield RP8	L7	EP	0.730	0	-0.550	0.100	-0.620	0.130	5.7					
404	Waters, XBridge C18	L1	C18	1.00	0.0200	-0.0900	0	0.170	0.130	4.6					
484	Waters, XBridge C8	L7	C8	0.800	0.0100	-0.290	0.0100	0.120	0.0600	3.4					
405	Waters, XBridge Phenyl	L11	Phenyl	0.730	-0.0700	-0.350	0.0300	0.190	0.200	2.4					
