name_new	name_old	usp code	phase type	kPB	αCH2	αT/O	αC/P	αB/P	αB/P	particle size [µm]	pore size [A]	name	hplccolumns_number	Column Name
Nacalai Tesque COSMOSIL PYE			Aromatic	1.95	1.37	3.02	24.1	0.58	0.2	5	120	Cosmosil 5 PYE 5um		Cosmosil 5 PYE 5um
Nacalai Tesque COSMOSIL Cholester			C18 like	5.24	1.49	3.26	0.39	0.23	0.03	5	120	Cosmosil cholester 5um		Cosmosil cholester 5um
Nacalai Tesque COSMOSIL πNAP			Aromatic	1.74	1.35	1.51	4.08	0.34	0.1	5	120	Cosmosil p-NAP 5um		Cosmosil π-NAP 5um
Phenomenex Curosil-PFP			PFP	1.77	1.27	2.49	0.71	0.85	0.1	5	110	Curosil PFP		Curosil PFP
Grace Alltech Denali C18			C18	6.47	1.48	1.69	0.38	0.33	0.1	5	120	Denali C18		Denali C18
Develosil ODS-MG			C18	6.7	1.49	1.24	0.51	0.1	0.07	5	100	Develosil ODS-MG-5		Develosil ODS-MG-5
Merck Discovery C18	Merck, Discovery C18		C18	3.32	1.48	1.51	0.39	0.28	0.1	5	180	Discovery C18		Discovery C18
Merck Discovery HS C18			C18	6.68	1.49	1.55	0.4	0.38	0.1	5	120	Discovery C18 HS		Discovery C18 HS
Merck Discovery C8	Merck, Discovery C8		C8	1.1	1.34	1	0.43	0.41	0.09	5	180	Discovery C8		Discovery C8
Merck Discovery Cyano	Merck, Discovery Cyano		CN	0.29	1	1	1	1.6	0.55	5	180	Discovery CN		Discovery CN
Merck Discovery HS F5 (PFP)	Merck, Discovery HS F5		PFP	1.7	1.26	2.55	0.68	0.85	0.34	5	120	Discovery F5 HS		Discovery F5 HS
Merck Discovery HS PEG	Merck, Discovery HS PEG		Polyethylene glycol	0.23	1.06	2.57	0.02	0.07	-0.04	5	120	Discovery PEG HS		Discovery PEG HS
Merck Discovery RP-AmideC16	Merck, Discovery RP-Amide C16		PEG	1.65	1.35	1.81	0.49	0.44	0.19	5	180	Discovery RP-amide C16		Discovery RP-amide C16
			C18	6.19	1.46	1.5	0.56	1	0.12	5	114	EU Column		EU Column
Hichrom Wakopak Fluofix 120E			Fluoroalkyl	0.57	1.24	0.58	0.81	2.06	0.38	5	120	Fluofix (ec)		Fluofix (ec)
Hichrom Wakopak Fluofix 120N			Fluoroalkyl	0.48	1.2	0.67	1.37	3.9	0.26	5	120	Fluofix (nec)		Fluofix (nec)
