rt	comment	id	pubchem.cid	pubchem.smiles.canonical	pubchem.smiles.isomeric
18.34		draft_25135_00219	160254		C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
18.37		draft_25135_00220	54676038	C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O	
18.37		draft_25135_00221	623342	C1=CC=C(C=C1)C2=CC(=O)C3=CC4=CC=CC=C4C=C3O2	
18.89		draft_25135_00222	73299		C[C@]12CC[C@@H]([C@@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)CO)O
19.2		draft_25135_00223	73309		C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(C[C@H]([C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)O)C)C)(C)C)O
19.52		draft_25135_00224	6440940		C[C@@H]1CC[C@H](C2=C(CC[C@H]12)C)/C=C(\C)/C(=O)O
19.53		draft_25135_00225	10639	CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)OC	
20.15		draft_25135_00226	168115		CCCCCCCCC[C@@H](CC(=O)CCC1=CC(=C(C=C1)O)OC)O
20.27		draft_25135_00227	94183	C1=CC2=C3C(=C1)C(=O)C4=C5C3=C(C=C2)C(=O)C6=CC=CC(=C65)C=C4	
20.39		draft_25135_00228	10114		C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C(=O)O
20.45		draft_25135_00229	11827970		C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C)C)C)OC1
20.77		draft_25135_00230	164676	CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C	
20.91		draft_25135_00231	441893		C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5([C@@H](C[C@@H](C6)O)O)C)C)C)OC1
20.99		draft_25135_00232	68066	CC1=CC(=C(C(=C1C(=O)OC2=C(C(=C(C(=C2)C)C(=O)OC)O)C)O)C=O)O	
21.03		draft_25135_00233	5317564		CC(=CCC/C(=C/COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)/C)C
21.12		draft_25135_00234	362046	CC1=CC(=CC2=C1CC=C3C(=C2)C(=O)C(=O)C(=C3O)C(C)C)OC	
22.48		draft_25135_00235	5471349		CC(=CCC/C(=C/COC1=C2C=CC(=O)OC2=CC3=C1C=CO3)/C)C
22.83		draft_25135_00236	3218	CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O	
23.28		draft_25135_00237	3515	CC1=C2C=CC(=C2C=C(C=C1)C(C)C)C	
23.35		draft_25135_00238	64971		CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O
23.82		draft_25135_00239	10494		C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O
23.96		draft_25135_00240	64945		C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O
24.5		draft_25135_00241	16078		CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O
24.77		draft_25135_00242	71587307		C/C=C\C=C\C/C=C\CCCCCCCC1=C(C(=CC=C1)O)O
25.37		draft_25135_00243	92802		C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)CO
26.06		draft_25135_00244	5997		C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
26.14		draft_25135_00245	12444628		CCC/C=C\C/C=C\CCCCCCCC1=C(C(=CC=C1)O)O
26.36		draft_25135_00246	441900		C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C)OC1
26.46		draft_25135_00247	99474		C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C)OC1
27.49		draft_25135_00248	91439		C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O)C)C)C)OC1
27.54		draft_25135_00249	92095		C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O)C)C)C)OC1
27.69		draft_25135_00250	161306	CCCCCCCCCCCCCC1=C(C(=CC=C1)O)C(=O)O	
28.03		draft_25135_00251	5281858		CCCCCC/C=C\CCCCCCCC1=C(C(=CC=C1)O)C(=O)O
29.14		draft_25135_00252	441298		CC(C)C(=O)[C@]12C(=O)C(=C([C@](C1=O)(C[C@@H]([C@@]2(C)CCC=C(C)C)CC=C(C)C)CC=C(C)C)O)CC=C(C)C
29.97		draft_25135_00253	5469634		CCCCCC/C=C\CCCCCCCCCC1=C(C(=CC=C1)O)C(=O)O
32.78		draft_25135_00254	73170		C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C
33.82		draft_25135_00255	259846		CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C
